hightemp_F,lowtemp_F,precipitation_in,brooklyn_br,manhattan_br,williamsburg_br,queensboro_br,total_cyclists
78.1,66,0.01,1704,3126,4115,2552,11497
55,48.9,0.15,827,1646,2565,1884,6922
39.9,34,0.09,526,1232,1695,1306,4759
44.1,33.1,0.47,521,1067,1440,1307,4335
42.1,26.1,0,1416,2617,3081,2357,9471
45,30,0,1885,3329,3856,2849,11919
57,53.1,0.09,1276,2581,3282,2457,9596
46.9,44.1,0.01,1982,3455,4113,3194,12744
43,37.9,0.09,504,997,1507,1502,4510
48.9,30.9,0,1447,2387,3132,2160,9126
62.1,46,0.01,2005,3791,4334,3182,13312
57,45,0.2,1045,2178,2762,2082,8067
57,39.9,0,2840,5395,5995,4192,18422
62.1,44.6,0,2861,5309,6030,4115,18315
64,44.1,0,2770,5072,5816,3912,17570
66,45,0,2384,4316,5624,4051,16375
73.9,46,0,3147,4969,5867,4197,18180
81,52,0,3871,6823,7432,4964,23090
71.1,63,0,3501,6951,7834,5032,23318
68,50,0,3450,6574,7639,4928,22591
71.1,50,0,3436,6452,7426,4813,22127
78.1,63,0,2975,4907,6093,3862,17837
70,61,0.16,2055,3276,4856,3239,13426
68,48,0,2798,4650,5335,3957,16740
66.9,54,0,3463,5978,6845,4564,20850
60.1,46.9,0.24,1997,3520,4559,2929,13005
62.1,46.9,0,3343,5606,6577,4388,19914
57.9,48,0,2486,4152,5336,3657,15631
57,46.9,0.05,2375,4178,5053,3348,14954
64,48,0,3199,4952,5675,3606,17432
78.1,66,0.01,1704,3126,4115,2552,11497
55,48.9,0.15,827,1646,2565,1884,6922
39.9,34,0.09,526,1232,1695,1306,4759
44.1,33.1,0.47,521,1067,1440,1307,4335
42.1,26.1,0,1416,2617,3081,2357,9471
45,30,0,1885,3329,3856,2849,11919
57,53.1,0.09,1276,2581,3282,2457,9596
46.9,44.1,0.01,1982,3455,4113,3194,12744
43,37.9,0.09,504,997,1507,1502,4510
48.9,30.9,0,1447,2387,3132,2160,9126
62.1,46,0.01,2005,3791,4334,3182,13312
57,45,0.2,1045,2178,2762,2082,8067
57,39.9,0,2840,5395,5995,4192,18422
62.1,44.6,0,2861,5309,6030,4115,18315
64,44.1,0,2770,5072,5816,3912,17570
66,45,0,2384,4316,5624,4051,16375
73.9,46,0,3147,4969,5867,4197,18180
81,52,0,3871,6823,7432,4964,23090
71.1,63,0,3501,6951,7834,5032,23318
68,50,0,3450,6574,7639,4928,22591
71.1,50,0,3436,6452,7426,4813,22127
78.1,63,0,2975,4907,6093,3862,17837
70,61,0.16,2055,3276,4856,3239,13426
68,48,0,2798,4650,5335,3957,16740
66.9,54,0,3463,5978,6845,4564,20850
60.1,46.9,0.24,1997,3520,4559,2929,13005
62.1,46.9,0,3343,5606,6577,4388,19914
57.9,48,0,2486,4152,5336,3657,15631
57,46.9,0.05,2375,4178,5053,3348,14954
64,48,0,3199,4952,5675,3606,17432
78.1,66,0.01,1704,3126,4115,2552,11497
55,48.9,0.15,827,1646,2565,1884,6922
39.9,34,0.09,526,1232,1695,1306,4759
44.1,33.1,0.47,521,1067,1440,1307,4335
42.1,26.1,0,1416,2617,3081,2357,9471
45,30,0,1885,3329,3856,2849,11919
57,53.1,0.09,1276,2581,3282,2457,9596
46.9,44.1,0.01,1982,3455,4113,3194,12744
43,37.9,0.09,504,997,1507,1502,4510
48.9,30.9,0,1447,2387,3132,2160,9126
62.1,46,0.01,2005,3791,4334,3182,13312
57,45,0.2,1045,2178,2762,2082,8067
57,39.9,0,2840,5395,5995,4192,18422
62.1,44.6,0,2861,5309,6030,4115,18315
64,44.1,0,2770,5072,5816,3912,17570
66,45,0,2384,4316,5624,4051,16375
73.9,46,0,3147,4969,5867,4197,18180
81,52,0,3871,6823,7432,4964,23090
71.1,63,0,3501,6951,7834,5032,23318
68,50,0,3450,6574,7639,4928,22591
71.1,50,0,3436,6452,7426,4813,22127
78.1,63,T,2975,4907,6093,3862,17837
70,61,0,2055,3276,4856,3239,13426
68,48,0,2798,4650,5335,3957,16740
66.9,54,0,3463,5978,6845,4564,20850
60.1,46.9,0.24,1997,3520,4559,2929,13005
62.1,46.9,0,3343,5606,6577,4388,19914
57.9,48,0,2486,4152,5336,3657,15631
57,46.9,0.05,2375,4178,5053,3348,14954
64,48,0,3199,4952,5675,3606,17432
78.1,66,0.01,1704,3126,4115,2552,11497
55,48.9,0.15,827,1646,2565,1884,6922
39.9,34,0.09,526,1232,1695,1306,4759
44.1,33.1,0.47,521,1067,1440,1307,4335
42.1,26.1,0,1416,2617,3081,2357,9471
45,30,0,1885,3329,3856,2849,11919
57,53.1,0.09,1276,2581,3282,2457,9596
46.9,44.1,0.01,1982,3455,4113,3194,12744
43,37.9,0.09,504,997,1507,1502,4510
48.9,30.9,0,1447,2387,3132,2160,9126
62.1,46,0.01,2005,3791,4334,3182,13312
57,45,0.2,1045,2178,2762,2082,8067
57,39.9,0,2840,5395,5995,4192,18422
62.1,44.6,0,2861,5309,6030,4115,18315
64,44.1,0,2770,5072,5816,3912,17570
66,45,0,2384,4316,5624,4051,16375
73.9,46,0,3147,4969,5867,4197,18180
81,52,0,3871,6823,7432,4964,23090
71.1,63,0,3501,6951,7834,5032,23318
68,50,0,3450,6574,7639,4928,22591
71.1,50,0,3436,6452,7426,4813,22127
78.1,63,0,2975,4907,6093,3862,17837
70,61,0.16,2055,3276,4856,3239,13426
68,48,0,2798,4650,5335,3957,16740
66.9,54,0,3463,5978,6845,4564,20850
60.1,46.9,0.24,1997,3520,4559,2929,13005
62.1,46.9,0,3343,5606,6577,4388,19914
57.9,48,0,2486,4152,5336,3657,15631
57,46.9,0.05,2375,4178,5053,3348,14954
64,48,0,3199,4952,5675,3606,17432
78.1,66,0.01,1704,3126,4115,2552,11497
55,48.9,0.15,827,1646,2565,1884,6922
39.9,34,0.09,526,1232,1695,1306,4759
44.1,33.1,0.47,521,1067,1440,1307,4335
42.1,26.1,0,1416,2617,3081,2357,9471
45,30,0,1885,3329,3856,2849,11919
57,53.1,0.09,1276,2581,3282,2457,9596
46.9,44.1,0.01,1982,3455,4113,3194,12744
43,37.9,0.09,504,997,1507,1502,4510
48.9,30.9,0,1447,2387,3132,2160,9126
62.1,46,0.01,2005,3791,4334,3182,13312
57,45,0.2,1045,2178,2762,2082,8067
57,39.9,0,2840,5395,5995,4192,18422
62.1,44.6,0,2861,5309,6030,4115,18315
64,44.1,0,2770,5072,5816,3912,17570
66,45,0,2384,4316,5624,4051,16375
73.9,46,0,3147,4969,5867,4197,18180
81,52,0,3871,6823,7432,4964,23090
71.1,63,0,3501,6951,7834,5032,23318
68,50,0,3450,6574,7639,4928,22591
71.1,50,0,3436,6452,7426,4813,22127
78.1,63,0,2975,4907,6093,3862,17837
70,61,0.16,2055,3276,4856,3239,13426
68,48,0,2798,4650,5335,3957,16740
66.9,54,0,3463,5978,6845,4564,20850
60.1,46.9,0.24,1997,3520,4559,2929,13005
62.1,46.9,0,3343,5606,6577,4388,19914
57.9,48,0,2486,4152,5336,3657,15631
57,46.9,0.05,2375,4178,5053,3348,14954
64,48,0,3199,4952,5675,3606,17432
78.1,66,0.01,1704,3126,4115,2552,11497
55,48.9,0.15,827,1646,2565,1884,6922
39.9,34,0.09,526,1232,1695,1306,4759
44.1,33.1,0.47,521,1067,1440,1307,4335
42.1,26.1,0,1416,2617,3081,2357,9471
45,30,0,1885,3329,3856,2849,11919
57,53.1,0.09,1276,2581,3282,2457,9596
46.9,44.1,0.01,1982,3455,4113,3194,12744
43,37.9,0.09,504,997,1507,1502,4510
48.9,30.9,0,1447,2387,3132,2160,9126
62.1,46,0.01,2005,3791,4334,3182,13312
57,45,0.2,1045,2178,2762,2082,8067
57,39.9,0,2840,5395,5995,4192,18422
62.1,44.6,0,2861,5309,6030,4115,18315
64,44.1,0,2770,5072,5816,3912,17570
66,45,0,2384,4316,5624,4051,16375
73.9,46,0,3147,4969,5867,4197,18180
81,52,0,3871,6823,7432,4964,23090
71.1,63,0,3501,6951,7834,5032,23318
68,50,0,3450,6574,7639,4928,22591
71.1,50,0,3436,6452,7426,4813,22127
78.1,63,0,2975,4907,6093,3862,17837
70,61,0.16,2055,3276,4856,3239,13426
68,48,0,2798,4650,5335,3957,16740
66.9,54,0,3463,5978,6845,4564,20850
60.1,46.9,0.24,1997,3520,4559,2929,13005
62.1,46.9,0,3343,5606,6577,4388,19914
57.9,48,0,2486,4152,5336,3657,15631
57,46.9,0.05,2375,4178,5053,3348,14954
64,48,0,3199,4952,5675,3606,17432
78.1,66,0.01,1704,3126,4115,2552,11497
55,48.9,0.15,827,1646,2565,1884,6922
39.9,34,0.09,526,1232,1695,1306,4759
44.1,33.1,0.47,521,1067,1440,1307,4335
42.1,26.1,0,1416,2617,3081,2357,9471
45,30,0,1885,3329,3856,2849,11919
57,53.1,0.09,1276,2581,3282,2457,9596
46.9,44.1,0.01,1982,3455,4113,3194,12744
43,37.9,0.09,504,997,1507,1502,4510
48.9,30.9,0,1447,2387,3132,2160,9126
62.1,46,0.01,2005,3791,4334,3182,13312
57,45,0.2,1045,2178,2762,2082,8067
57,39.9,0,2840,5395,5995,4192,18422
62.1,44.6,0,2861,5309,6030,4115,18315
64,44.1,0,2770,5072,5816,3912,17570
66,45,0,2384,4316,5624,4051,16375
73.9,46,0,3147,4969,5867,4197,18180
81,52,0,3871,6823,7432,4964,23090
71.1,63,0,3501,6951,7834,5032,23318
68,50,0,3450,6574,7639,4928,22591
71.1,50,0,3436,6452,7426,4813,22127
78.1,63,0,2975,4907,6093,3862,17837
70,61,0.16,2055,3276,4856,3239,13426
68,48,0,2798,4650,5335,3957,16740
66.9,54,0,3463,5978,6845,4564,20850
60.1,46.9,0.24,1997,3520,4559,2929,13005
62.1,46.9,0,3343,5606,6577,4388,19914
57.9,48,0,2486,4152,5336,3657,15631
57,46.9,0.05,2375,4178,5053,3348,14954
64,48,0,3199,4952,5675,3606,17432